pair_id	event_contract	expiration_date	quantity	yes_price	no_price	pair_time
1JF1HVM1NR449	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.8	0.21	2024-08-01T10:48:11.335389712-05:00
1JF1HVM1NR44G	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.81	0.2	2024-08-01T10:48:45.317283855-05:00
1JF1HVM1NR44Q	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.82	0.19	2024-08-01T10:49:03.913228353-05:00
1JF1HVM1NR44Y	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.83	0.18	2024-08-01T10:49:14.120921157-05:00
1JF1HVM1NR455	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.84	0.17	2024-08-01T10:49:22.770669529-05:00
1JF1HVM1NR45C	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.85	0.16	2024-08-01T10:50:16.269092168-05:00
1JF1HVM1NR45K	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.86	0.15	2024-08-01T10:50:22.288572875-05:00
1JF1HVM1NR45T	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.87	0.14	2024-08-01T10:50:31.306559657-05:00
1JF1HVM1NR461	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.88	0.13	2024-08-01T10:50:37.147362013-05:00
1JF1HVM1NR468	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.89	0.12	2024-08-01T10:51:31.524311097-05:00
1JF1HVM1NR47T	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.9	0.11	2024-08-01T10:51:40.161615437-05:00
1JF1HVM1NR48G	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.91	0.1	2024-08-01T10:51:46.689700709-05:00
1JF1HVM1NR4JZ	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.92	0.09	2024-08-01T10:51:51.334760767-05:00
1JF1HVM1NR4SV	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.93	0.08	2024-08-01T10:51:56.493813314-05:00
1JF1HVM1NR4V1	UNR_0724_3.9	2024-08-02T07:30:00-05:00	10	0.94	0.07	2024-08-01T10:52:15.541193924-05:00
1JF1HVM1NR4WB	UNR_0325_4.0	2025-04-04T07:30:00-05:00	1	0.3	0.71	2024-08-01T12:30:58.135216766-05:00
1JF1HVM1XR765	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.57	0.44	2024-08-01T21:44:38.422606401-05:00
1JF1HVM1XR76X	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.58	0.43	2024-08-01T23:58:40.211273422-05:00
1JF1HVM1XR7J4	UNR_1224_3.9	2025-01-03T07:30:00-06:00	10	0.54	0.47	2024-08-02T08:11:24.986712712-05:00
1JF1HVM1XR7JP	UNR_0924_3.9	2024-10-04T07:30:00-05:00	10	0.56	0.45	2024-08-02T08:12:02.056496061-05:00
1JF1HVM1XR7K8	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.59	0.42	2024-08-02T08:12:52.420790297-05:00
1JF1HVM1XR7MC	UNR_0924_3.9	2024-10-04T07:30:00-05:00	10	0.57	0.44	2024-08-02T08:16:46.57973325-05:00
1JF1HVM1XR7MY	UNR_1224_3.9	2025-01-03T07:30:00-06:00	10	0.55	0.46	2024-08-02T08:17:06.269606747-05:00
1JF1HVM1XR7NV	UNR_0924_3.9	2024-10-04T07:30:00-05:00	10	0.58	0.43	2024-08-02T08:17:34.078671435-05:00
1JF1HVM1XR7PH	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.6	0.41	2024-08-02T08:47:30.76493051-05:00
1JF1HVM1XR7Q3	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.61	0.4	2024-08-02T08:47:42.293545751-05:00
1JF1HVM1XR7QN	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.62	0.39	2024-08-02T08:47:52.307009456-05:00
1JF1HVM1XR7R7	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.63	0.38	2024-08-02T08:48:01.122764537-05:00
1JF1HVM1XR7RT	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.64	0.37	2024-08-02T08:48:13.732672758-05:00
1JF1HVM1XR7SC	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.65	0.36	2024-08-02T08:48:23.565565139-05:00
1JF1HVM1XR7T4	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.66	0.35	2024-08-02T08:48:31.368564898-05:00
1JF1HVM1XR7TP	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.67	0.34	2024-08-02T08:48:39.638909503-05:00
1JF1HVM1XR7V8	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.68	0.33	2024-08-02T08:48:49.685655515-05:00
1JF1HVM1XR7ZK	UNR_0924_3.9	2024-10-04T07:30:00-05:00	10	0.59	0.42	2024-08-02T08:49:07.827403761-05:00
1JF1HVM21R402	UNR_0924_3.9	2024-10-04T07:30:00-05:00	10	0.6	0.41	2024-08-02T08:49:15.76182312-05:00
1JF1HVM21R408	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.69	0.32	2024-08-02T08:49:35.197609841-05:00
1JF1HVM21R41A	UNR_0924_3.9	2024-10-04T07:30:00-05:00	10	0.61	0.4	2024-08-02T08:57:54.034354085-05:00
1JF1HVM21R41G	UNR_0924_3.9	2024-10-04T07:30:00-05:00	10	0.62	0.39	2024-08-02T08:58:07.619151575-05:00
1JF1HVM21R432	UNR_1224_3.9	2025-01-03T07:30:00-06:00	10	0.6	0.41	2024-08-02T09:05:21.382917032-05:00
1JF1HVM21R446	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.7	0.31	2024-08-02T09:43:50.252154963-05:00
1JF1HVM21R44P	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.73	0.28	2024-08-02T10:10:18.904294165-05:00
1JF1HVM21R44W	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.75	0.26	2024-08-02T10:10:20.020484691-05:00
1JF1HVM21R452	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.76	0.25	2024-08-02T11:04:06.588954749-05:00
1JF1HVM21R458	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.77	0.24	2024-08-02T11:05:41.686628011-05:00
1JF1HVM21R45E	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.8	0.21	2024-08-02T11:05:42.769339031-05:00
1JF1HVM21R45R	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.81	0.2	2024-08-02T11:42:51.932614553-05:00
1JF1HVM21R461	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.82	0.19	2024-08-02T11:43:13.254194339-05:00
1JF1HVM21R468	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.83	0.18	2024-08-02T11:43:38.288886207-05:00
1JF1HVM21R46K	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.84	0.17	2024-08-02T11:43:55.657249773-05:00
1JF1HVM21R46T	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.85	0.16	2024-08-02T11:44:07.57234536-05:00
1JF1HVM21R471	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.86	0.15	2024-08-02T11:44:18.093184708-05:00
1JF1HVM21R48T	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.87	0.14	2024-08-02T11:44:48.316657336-05:00
1JF1HVM21R4GH	UNR_0824_3.9	2024-09-06T07:30:00-05:00	10	0.88	0.13	2024-08-02T12:39:56.700411092-05:00
1JF1HVM21R4J2	UNR_1224_3.9	2025-01-03T07:30:00-06:00	10	0.71	0.3	2024-08-02T12:40:29.663605026-05:00
1JF1HVM21R624	UNR_1024_3.9	2024-11-01T07:30:00-05:00	10	0.75	0.26	2024-08-05T08:17:06.234400695-05:00
1JF1HVM21R62P	UNR_1224_3.9	2025-01-03T07:30:00-06:00	10	0.73	0.28	2024-08-05T08:17:28.245013028-05:00
1JF1HVM21R66Q	UNR_1024_3.9	2024-11-01T07:30:00-05:00	10	0.69	0.32	2024-08-05T14:56:05.334432005-05:00
1JF1HVM21R70S	UNR_0924_3.9	2024-10-04T07:30:00-05:00	10	0.81	0.2	2024-08-06T08:18:17.436698789-05:00
