event_contract	subtype	expiration_date	date	start_price	high_price	low_price	end_price	settlement_price	pair_quantity	open_interest	vwap
UNR_0325_4.0	YES	2025-04-04T07:30:00-05:00	8/1/2024	0.3	0.3	0.3	0.3	0.3	1	1	0.3
UNR_0325_4.0	NO	2025-04-04T07:30:00-05:00	8/1/2024	0.71	0.71	0.71	0.71	0.71	1	1	0.71
UNR_0625_4.0	YES	2025-07-03T07:30:00-05:00	8/1/2024	0	0	0	0		0	0	0
UNR_0625_4.0	NO	2025-07-03T07:30:00-05:00	8/1/2024	0	0	0	0		0	0	0
UNR_0626_4.1	YES	2026-07-03T07:30:00-05:00	8/1/2024	0	0	0	0		0	0	0
UNR_0626_4.1	NO	2026-07-03T07:30:00-05:00	8/1/2024	0	0	0	0		0	0	0
UNR_0724_3.9	YES	2024-08-02T07:30:00-05:00	8/1/2024	0.8	0.94	0.8	0.94	0.94	150	150	0.87
UNR_0724_3.9	NO	2024-08-02T07:30:00-05:00	8/1/2024	0.21	0.21	0.07	0.07	0.07	150	150	0.14
UNR_0824_3.9	YES	2024-09-06T07:30:00-05:00	8/1/2024	0	0	0	0		0	0	0
UNR_0824_3.9	NO	2024-09-06T07:30:00-05:00	8/1/2024	0	0	0	0		0	0	0
UNR_0924_3.9	YES	2024-10-04T07:30:00-05:00	8/1/2024	0	0	0	0		0	0	0
UNR_0924_3.9	NO	2024-10-04T07:30:00-05:00	8/1/2024	0	0	0	0		0	0	0
UNR_1224_3.9	YES	2025-01-03T07:30:00-06:00	8/1/2024	0	0	0	0		0	0	0
UNR_1224_3.9	NO	2025-01-03T07:30:00-06:00	8/1/2024	0	0	0	0		0	0	0
UNR_1225_4.0	YES	2026-01-02T07:30:00-06:00	8/1/2024	0	0	0	0		0	0	0
UNR_1225_4.0	NO	2026-01-02T07:30:00-06:00	8/1/2024	0	0	0	0		0	0	0
UNR_0325_4.0	YES	2025-04-04T07:30:00-05:00	8/2/2024	0.3	0	0	0.3	0.3	0	1	0
UNR_0325_4.0	NO	2025-04-04T07:30:00-05:00	8/2/2024	0.71	0	0	0.71	0.71	0	1	0
UNR_0625_4.0	YES	2025-07-03T07:30:00-05:00	8/2/2024	0	0	0	0		0	0	0
UNR_0625_4.0	NO	2025-07-03T07:30:00-05:00	8/2/2024	0	0	0	0		0	0	0
UNR_0626_4.1	YES	2026-07-03T07:30:00-05:00	8/2/2024	0	0	0	0		0	0	0
UNR_0626_4.1	NO	2026-07-03T07:30:00-05:00	8/2/2024	0	0	0	0		0	0	0
UNR_0724_3.9	YES	2024-08-02T07:30:00-05:00	8/2/2024	1	0	0	1	1	0	0	0
UNR_0724_3.9	NO	2024-08-02T07:30:00-05:00	8/2/2024	0	0	0	0	0	0	0	0
UNR_0824_3.9	YES	2024-09-06T07:30:00-05:00	8/2/2024	0.57	0.88	0.57	0.88	0.88	270	270	0.72
UNR_0824_3.9	NO	2024-09-06T07:30:00-05:00	8/2/2024	0.44	0.44	0.13	0.13	0.13	270	270	0.29
UNR_0924_3.9	YES	2024-10-04T07:30:00-05:00	8/2/2024	0.56	0.62	0.56	0.62	0.62	70	70	0.59
